BuildingVariant,start year,end year,building type,classification,location,A_ref,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,h_room,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,n_air_use,g_gl_n_Window_1,g_gl_n_Window_2,F_sh_hor,F_sh_vert,F_f,F_w,c_m,b_Roof_1,b_Roof_2,b_Wall_1,b_Wall_2,b_Wall_3,b_Floor_1,b_Floor_2
DE.N.AB.02.Gen.ReEx.001.001,1860,1918,AB,Gen,Overall,829.4,231.8,0,305.4,0,0,163.7,0,136.2,0,2,0,65.8,2.3,65.8,2.3,2.5,0.2,1.3,1,1.7,1.7,1.7,0.88,1.2,2.8,2.8,3,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,0,1,0,0,0.5,0
DE.N.AB.03.Gen.ReEx.001.001,1919,1984,AB,Gen,Overall,1484,0,384.2,1244,0,0,395.6,0,278.52,0,2,0,126.9,24.72,126.9,0,2.5,0.2,1.4,0.65,1.4,1.4,1.4,0.77,1,3,3,3,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.N.AB.04.Gen.ReEx.001.001,1949,1957,AB,Gen,Overall,1602.7,0,353.5,1376,0,0,353.5,0,294.9,0,2,0,128.3,38.3,128.3,0,2.5,0.2,0.6,1.08,1.2,1.2,1.2,1.29,2.1,3,3,3,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.N.AB.05.Gen.ReEx.001.001,1958,1968,AB,Gen,Overall,3887.4,0,479.58,3247.79,0,0,459.24,0,687.03,0,2,0,323.065,26.59,323.065,14.31,2.5,0.2,0.8,0.51,1.2,1.2,1.2,1.08,1.6,3,3,3,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.N.AB.05.HR.ReEx.001.001,1958,1968,AB,HR,Overall,11448.8,0,501.19,6949.14,0,0,485.36,269.52,1947.19,0,2,0,493.8,610.1,493.8,349.49,2.5,0.2,0.6,0.51,1.2,1.2,1.2,1.08,1.6,3,3,3,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0.5
DE.N.AB.06.HR.ReEx.001.001,1969,1978,AB,HR,Overall,3322,0,540,2130,0,0,540,0,545,0,2,0,229,34,229,53,2.5,0.2,0.5,0.51,1.1,1.1,1.1,0.77,1,3,3,4,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.N.AB.06.Gen.ReEx.001.001,1969,1978,AB,Gen,Overall,19813.2,0,1468.97,14623.4,0,0,1468.97,0,2580.52,0,2,0,760.22,763.88,760.22,296.2,2.5,0.2,0.5,0.51,1.1,1.1,1.1,0.77,1,3,3,4,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.East.AB.06.Gen.ReEx.001.001,1969,1978,AB,Gen,East,3107.5,0,598.34,1599.73,0,0,598.34,0,461,0,2,0,0,278,0,183,2.5,0.2,0.6,0.51,1.1,1.1,1.1,0.77,1,2.7,2.7,4,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.East.AB.06.HR.ReEx.001.001,1969,1978,AB,HR,East,5275.6,0,598.3369,2992.09,0,0,598.3369,0,756,0,2,0,378,0,378,0,2.5,0.2,0.5,0.51,1.1,1.1,1.1,0.77,1,2.7,2.7,4,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
DE.East.AB.07.Gen.ReEx.001.001,1979,1983,AB,Gen,East,3107.5,0,598.34,1673.73,0,0,598.34,0,387,0,2,0,0,215,0,172,2.5,0.2,0.5,0.43,0.9,0.9,0.9,0.65,0.8,2.7,2.7,4,0.4,0.75,0.75,0.8,0.6,0.3,0.9,45,1,1,1,0,0,0.5,0
