Act_TV;Act_Cooking;Act_Laundry;Act_WashDress;Act_Iron;Act_HouseClean
0.90476;0.04762;0.00000;0.23810;0.00000;0.00000
0.82353;0.05882;0.00000;0.17647;0.00000;0.00000
0.69231;0.00000;0.00000;0.07692;0.00000;0.00000
0.70000;0.00000;0.00000;0.10000;0.00000;0.00000
0.83333;0.16667;0.00000;0.00000;0.00000;0.00000
0.71429;0.14286;0.00000;0.28571;0.00000;0.00000
0.00000;0.00000;0.00000;1.00000;0.00000;0.00000
0.00000;0.00000;0.00000;1.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;1.00000;0.00000;0.00000
0.00000;0.00000;0.00000;1.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
0.00000;0.00000;0.00000;0.66667;0.00000;0.00000
0.00000;0.50000;0.00000;0.75000;0.00000;0.00000
0.00000;0.33333;0.00000;1.00000;0.00000;0.00000
0.00000;0.14286;0.00000;0.85714;0.14286;0.00000
0.00000;0.30769;0.00000;0.76923;0.07692;0.00000
0.00000;0.29412;0.00000;0.82353;0.00000;0.00000
0.03448;0.34483;0.03448;0.86207;0.00000;0.00000
0.15385;0.30769;0.00000;0.79487;0.02564;0.05128
0.06349;0.23810;0.01587;0.86508;0.02381;0.04762
0.11688;0.29221;0.02597;0.77273;0.02597;0.09740
0.17935;0.28261;0.04348;0.77174;0.01630;0.07065
0.16738;0.29614;0.02575;0.71674;0.02146;0.06867
0.17621;0.33480;0.02643;0.70925;0.01762;0.05286
0.24000;0.27556;0.04000;0.71556;0.00444;0.06667
0.21005;0.26027;0.01826;0.68950;0.01826;0.09132
0.22660;0.26601;0.05911;0.69951;0.00985;0.10345
0.23871;0.21290;0.02581;0.59355;0.01935;0.13548
0.28571;0.17582;0.04396;0.62637;0.00000;0.12088
0.33333;0.30303;0.04545;0.43939;0.01515;0.15152
0.38298;0.27660;0.02128;0.46809;0.04255;0.25532
0.34694;0.30612;0.06122;0.51020;0.02041;0.18367
0.36207;0.18966;0.05172;0.50000;0.01724;0.24138
0.42105;0.21053;0.12281;0.47368;0.01754;0.28070
0.43333;0.21667;0.10000;0.53333;0.01667;0.31667
0.50000;0.21154;0.11538;0.42308;0.00000;0.25000
0.50000;0.17308;0.11538;0.38462;0.01923;0.19231
0.45652;0.13043;0.02174;0.52174;0.02174;0.19565
0.37255;0.11765;0.05882;0.47059;0.01961;0.17647
0.34483;0.15517;0.03448;0.39655;0.01724;0.17241
0.39216;0.09804;0.09804;0.37255;0.00000;0.29412
0.38000;0.22000;0.06000;0.26000;0.02000;0.22000
0.42308;0.19231;0.05769;0.21154;0.01923;0.19231
0.32727;0.16364;0.09091;0.36364;0.01818;0.23636
0.33333;0.18519;0.05556;0.33333;0.05556;0.25926
0.36735;0.20408;0.08163;0.26531;0.02041;0.26531
0.36364;0.20000;0.09091;0.30909;0.05455;0.21818
0.36364;0.18182;0.03636;0.23636;0.05455;0.25455
0.40000;0.22000;0.04000;0.30000;0.04000;0.28000
0.30357;0.25000;0.08929;0.19643;0.01786;0.26786
0.41071;0.19643;0.05357;0.21429;0.01786;0.19643
0.42857;0.25397;0.06349;0.17460;0.03175;0.17460
0.46970;0.31818;0.04545;0.21212;0.03030;0.19697
0.38710;0.30645;0.01613;0.12903;0.03226;0.22581
0.33929;0.21429;0.05357;0.10714;0.03571;0.19643
0.44231;0.32692;0.05769;0.07692;0.03846;0.15385
0.39286;0.26786;0.05357;0.16071;0.03571;0.08929
0.53191;0.25532;0.02128;0.12766;0.02128;0.12766
