Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.980694981;0.019305019;0;0;0;0;0
1;1;0.246153846;0.746153846;0.007692308;0;0;0;0
1;2;0.1;0.233333333;0.633333333;0.033333333;0;0;0
1;3;0;0.111111111;0.444444444;0.444444444;0;0;0
1;4;0;0;0;0;0;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.998158379;0.001841621;0;0;0;0;0
2;1;0.173913043;0.817391304;0.008695652;0;0;0;0
2;2;0;0.291666667;0.708333333;0;0;0;0
2;3;0;0;0.2;0.8;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.991103203;0.008896797;0;0;0;0;0
3;1;0.18627451;0.794117647;0.019607843;0;0;0;0
3;2;0.105263158;0.210526316;0.684210526;0;0;0;0
3;3;0;0;0.25;0.75;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.991349481;0.008650519;0;0;0;0;0
4;1;0.144444444;0.855555556;0;0;0;0;0
4;2;0.125;0.25;0.625;0;0;0;0
4;3;0;0;0.666666667;0.333333333;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.994897959;0.00170068;0.003401361;0;0;0;0
5;1;0.186046512;0.802325581;0.011627907;0;0;0;0
5;2;0.083333333;0.333333333;0.583333333;0;0;0;0
5;3;0;0;0;1;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.993355482;0.006644518;0;0;0;0;0
6;1;0.405405405;0.567567568;0.027027027;0;0;0;0
6;2;0.1;0.5;0.4;0;0;0;0
6;3;0;0;1;0;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.990461049;0.009538951;0;0;0;0;0
7;1;0.196078431;0.803921569;0;0;0;0;0
7;2;0;0.428571429;0.571428571;0;0;0;0
7;3;0;0;0;0;0;0;0
7;4;0;0;0;0;0;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;0.995260664;0.004739336;0;0;0;0;0
8;1;0.32;0.64;0.04;0;0;0;0
8;2;0;0.25;0.75;0;0;0;0
8;3;0;0;0;0;0;0;0
8;4;0;0;0;0;0;0;0
8;5;0;0;0;0;0;0;0
8;6;0;0;0;0;0;0;0
9;0;0.998452012;0;0.001547988;0;0;0;0
9;1;0.138888889;0.861111111;0;0;0;0;0
9;2;0.2;0;0.8;0;0;0;0
9;3;0;0;0;0;0;0;0
9;4;0;0;0;0;0;0;0
9;5;0;0;0;0;0;0;0
9;6;0;0;0;0;0;0;0
10;0;0.998463902;0.001536098;0;0;0;0;0
10;1;0.225806452;0.774193548;0;0;0;0;0
10;2;0.2;0;0.8;0;0;0;0
10;3;0;0;0;0;0;0;0
10;4;0;0;0;0;0;0;0
10;5;0;0;0;0;0;0;0
10;6;0;0;0;0;0;0;0
11;0;0.992401216;0.007598784;0;0;0;0;0
11;1;0.04;0.96;0;0;0;0;0
11;2;0;0.25;0.75;0;0;0;0
11;3;0;0;0;0;0;0;0
11;4;0;0;0;0;0;0;0
11;5;0;0;0;0;0;0;0
11;6;0;0;0;0;0;0;0
12;0;0.996941896;0.003058104;0;0;0;0;0
12;1;0.3;0.7;0;0;0;0;0
12;2;0;0.333333333;0.666666667;0;0;0;0
12;3;0;0;0;0;0;0;0
12;4;0;0;0;0;0;0;0
12;5;0;0;0;0;0;0;0
12;6;0;0;0;0;0;0;0
13;0;0.996974281;0.003025719;0;0;0;0;0
13;1;0.166666667;0.833333333;0;0;0;0;0
13;2;0;1;0;0;0;0;0
13;3;0;0;0;0;0;0;0
13;4;0;0;0;0;0;0;0
13;5;0;0;0;0;0;0;0
13;6;0;0;0;0;0;0;0
14;0;0.992458522;0.007541478;0;0;0;0;0
14;1;0;1;0;0;0;0;0
14;2;0;0;0;0;0;0;0
14;3;0;0;0;0;0;0;0
14;4;0;0;0;0;0;0;0
14;5;0;0;0;0;0;0;0
14;6;0;0;0;0;0;0;0
15;0;0.996960486;0.003039514;0;0;0;0;0
15;1;0.206896552;0.793103448;0;0;0;0;0
15;2;0;0;0;0;0;0;0
15;3;0;0;0;0;0;0;0
15;4;0;0;0;0;0;0;0
15;5;0;0;0;0;0;0;0
15;6;0;0;0;0;0;0;0
16;0;0.998489426;0.001510574;0;0;0;0;0
16;1;0.28;0.72;0;0;0;0;0
16;2;0;0;0;0;0;0;0
16;3;0;0;0;0;0;0;0
16;4;0;0;0;0;0;0;0
16;5;0;0;0;0;0;0;0
16;6;0;0;0;0;0;0;0
17;0;0.991017964;0.00748503;0.001497006;0;0;0;0
17;1;0.210526316;0.736842105;0.052631579;0;0;0;0
17;2;0;0;0;0;0;0;0
17;3;0;0;0;0;0;0;0
17;4;0;0;0;0;0;0;0
17;5;0;0;0;0;0;0;0
17;6;0;0;0;0;0;0;0
18;0;0.992492492;0.007507508;0;0;0;0;0
18;1;0.052631579;0.947368421;0;0;0;0;0
18;2;0;0.5;0.5;0;0;0;0
18;3;0;0;0;0;0;0;0
18;4;0;0;0;0;0;0;0
18;5;0;0;0;0;0;0;0
18;6;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0
19;1;0.125;0.875;0;0;0;0;0
19;2;1;0;0;0;0;0;0
19;3;0;0;0;0;0;0;0
19;4;0;0;0;0;0;0;0
19;5;0;0;0;0;0;0;0
19;6;0;0;0;0;0;0;0
20;0;0.992492492;0.007507508;0;0;0;0;0
20;1;0.238095238;0.761904762;0;0;0;0;0
20;2;0;0;0;0;0;0;0
20;3;0;0;0;0;0;0;0
20;4;0;0;0;0;0;0;0
20;5;0;0;0;0;0;0;0
20;6;0;0;0;0;0;0;0
21;0;0.996996997;0.003003003;0;0;0;0;0
21;1;0.142857143;0.80952381;0.047619048;0;0;0;0
21;2;0;0;0;0;0;0;0
21;3;0;0;0;0;0;0;0
21;4;0;0;0;0;0;0;0
21;5;0;0;0;0;0;0;0
21;6;0;0;0;0;0;0;0
22;0;0.994002999;0.005997001;0;0;0;0;0
22;1;0.157894737;0.842105263;0;0;0;0;0
