Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.971428571;0.014285714;0;0.014285714;0;0;0
1;1;0.1875;0.71875;0.0625;0.03125;0;0;0
1;2;0.071428571;0.285714286;0.571428571;0.071428571;0;0;0
1;3;0;0.1;0.3;0.6;0;0;0
1;4;0;0;0;0;0;0;0
1;5;0;0;0;0;0.5;0.5;0
1;6;0;0;0;0;0;0;0
2;0;0.986666667;0.013333333;0;0;0;0;0
2;1;0.137931034;0.827586207;0.034482759;0;0;0;0
2;2;0.230769231;0.076923077;0.615384615;0.076923077;0;0;0
2;3;0;0.111111111;0.111111111;0.777777778;0;0;0
2;4;0;0;0;0;1;0;0
2;5;0;0;0;0;0;1;0
2;6;0;0;0;0;0;0;0
3;0;1;0;0;0;0;0;0
3;1;0.148148148;0.777777778;0.074074074;0;0;0;0
3;2;0.1;0.4;0.5;0;0;0;0
3;3;0;0.125;0.125;0.75;0;0;0
3;4;0;0;0;0;1;0;0
3;5;0;0;0;0;1;0;0
3;6;0;0;0;0;0;0;0
4;0;0.988372093;0;0.011627907;0;0;0;0
4;1;0.269230769;0.615384615;0.115384615;0;0;0;0
4;2;0.25;0.25;0.5;0;0;0;0
4;3;0;0;0.166666667;0.833333333;0;0;0
4;4;0;0;0;0;1;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.978723404;0.021276596;0;0;0;0;0
5;1;0.055555556;0.944444444;0;0;0;0;0
5;2;0.111111111;0.111111111;0.777777778;0;0;0;0
5;3;0;0;0;1;0;0;0
5;4;0;0;0;0;1;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.989361702;0.010638298;0;0;0;0;0
6;1;0.2;0.75;0.05;0;0;0;0
6;2;0.142857143;0.571428571;0.285714286;0;0;0;0
6;3;0;0;0.4;0.6;0;0;0
6;4;0;0.5;0;0;0.5;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.989795918;0.010204082;0;0;0;0;0
7;1;0.142857143;0.857142857;0;0;0;0;0
7;2;0;0;1;0;0;0;0
7;3;0;0;0;1;0;0;0
7;4;0;0;0;0;1;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;0.99;0.01;0;0;0;0;0
8;1;0.105263158;0.894736842;0;0;0;0;0
8;2;0;0;1;0;0;0;0
8;3;0;0;0.333333333;0.666666667;0;0;0
8;4;0;0;0;0;1;0;0
8;5;0;0;0;0;0;0;0
8;6;0;0;0;0;0;0;0
9;0;0.99009901;0.00990099;0;0;0;0;0
9;1;0.277777778;0.722222222;0;0;0;0;0
9;2;0;0.5;0.5;0;0;0;0
9;3;0;0;0.5;0.5;0;0;0
9;4;0;0;0;0;1;0;0
9;5;0;0;0;0;0;0;0
9;6;0;0;0;0;0;0;0
10;0;0.99047619;0.00952381;0;0;0;0;0
10;1;0.176470588;0.823529412;0;0;0;0;0
10;2;0;0;1;0;0;0;0
10;3;0;0;0;0;1;0;0
10;4;0;0;0;0;1;0;0
10;5;0;0;0;0;0;0;0
10;6;0;0;0;0;0;0;0
11;0;0.962616822;0.037383178;0;0;0;0;0
11;1;0.2;0.8;0;0;0;0;0
11;2;0;0.25;0.75;0;0;0;0
11;3;0;0;0;0;0;0;0
11;4;0;0;0;0.5;0.5;0;0
11;5;0;0;0;0;0;0;0
11;6;0;0;0;0;0;0;0
12;0;0.971698113;0.028301887;0;0;0;0;0
12;1;0.235294118;0.764705882;0;0;0;0;0
12;2;0;0;1;0;0;0;0
12;3;0;0;0;1;0;0;0
12;4;0;0;0;0;1;0;0
12;5;0;0;0;0;0;0;0
12;6;0;0;0;0;0;0;0
13;0;0.981308411;0.018691589;0;0;0;0;0
