,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
0,3.0,-14,11,78267,"Aach, Hegau",47.8432211,8.8526869
1,8.1,-12,5,52062,Aachen,50.7780476,6.0887682
2,7.9,-16,13,73430,"Aalen, Württ.",48.84786339999999,10.0821945
3,8.1,-12,5,59227,"Ahlen, Westf.",51.7891354,7.8843043
4,8.5,-12,3,38707,Ahrensberg,51.8214467,10.4581076
5,6.8,-12,6,58762,"Altena, Westf.",51.2752109,7.658575000000001
6,6.8,-12,6,55232,Alzey,49.7459852,8.0997494
7,7.9,-16,13,92224,"Amberg, Oberpf.",49.44217099999999,11.837768400000002
8,8.8,-12,7,56626,Andernach,50.436848,7.3533421999999975
9,9.5,-12,4,17389,Anklam,53.8392931,13.672886199999999
10,3.0,-16,11,9456,Annaberg-Buchholz,49.882949100000005,6.256493499999999
11,7.9,-16,13,91522,"Ansbach, Mittelfr.",49.29993229999999,10.5595763
12,7.9,-14,9,99510,Apolda,51.011083299999996,11.500439199999999
13,6.8,-12,6,59821,Arnsberg,51.374312100000004,8.066182099999999
14,7.9,-14,9,99310,Arnstadt,50.8100961,10.9640913
15,6.8,-12,6,63741,Aschaffenburg,49.9951707,9.115508
16,9.5,-14,4,6449,"Aschersleben, Sachs.-Anh.",51.7793089,11.4729835
17,6.3,-16,10,8280,Aue,50.5943135,12.706180400000001
18,6.3,-16,10,8209,Auerbach/Vogtl.,50.48230220000001,12.432223599999999
19,7.9,-14,13,86150,Augsburg,48.3656729,10.894266199999999
20,7.9,-16,13,88326,"Aulendorf, Württ.",47.9426576,9.6556921
21,10.2,-12,12,71522,Backnang,48.9489037,9.433109
22,10.2,-12,12,76530,Baden-Baden,48.7581482,8.2223291
23,10.2,-14,12,79410,Badenweiler,47.8015883,7.6721059999999985
24,7.9,-16,13,96047,Bamberg,49.891843200000004,10.892610699999999
25,6.3,-16,10,2625,Bautzen,51.181586700000004,14.4230008
26,7.9,-16,13,95444,Bayreuth,49.94255510000001,11.574454300000001
27,8.1,-12,5,59269,"Beckum, Westf.",51.7667636,8.056958
28,6.8,-14,6,64743,"Beerfelden, Odenw.",49.5676213,8.9737975
29,8.1,-12,5,51429,Bensberg b. Bergisch Gladb.,50.968061,7.2024025
30,10.2,-10,12,64625,Bensheim (Bensheim-Auerbach),49.6870434,8.628856400000002
31,6.8,-16,15,83471,Berchtesgaden,47.6332078,13.0517059
32,8.4,-10,2,18528,Bergen/Rügen,54.411739100000005,13.425852599999999
33,6.8,-12,6,51427,Bergisch-Gladbach,50.95699639999999,7.126777099999999
34,6.8,-12,6,76887,"Bergzabern, Bad",49.10350510000001,7.999198599999999
35,9.5,-14,4,10117,Berlin,52.5155098,13.3847539
36,9.5,-14,4,16321,Bernau b. Berlin,52.6874845,13.567276500000002
37,9.5,-14,4,6406,Bernburg/Saale,51.780499799999994,11.781959
38,8.8,-10,7,54470,Bernkastel-Kues,49.9168321,7.0645656
39,6.8,-12,6,66802,"Berus, Überherrn",49.2433484,6.6981115
40,7.9,-16,13,88400,"Biberach, Riss",48.0897213,9.8079239
41,8.8,-12,7,35216,Biedenkopf,50.9315987,8.5183866
42,6.8,-12,6,33602,Bielefeld,52.0230903,8.5337526
43,10.2,-12,12,55411,"Bingen, Rhein",49.943702200000004,7.922532899999998
44,6.8,-14,6,55765,"Birkenfeld, Nahe",49.64293370000001,7.173556899999999
45,9.5,-14,4,6749,Bitterfeld,51.6209581,12.3393561
46,8.5,-14,3,38889,Blankenburg/Harz,51.7868484,10.950987
47,8.8,-14,7,56865,Blankenrath,50.0323575,7.280138000000001
48,8.1,-10,5,46395,Bocholt,51.826685299999994,6.5876199999999985
49,8.1,-10,5,44787,Bochum,51.481339399999996,7.2168733
50,8.1,-12,5,59075,Bockum-Hövel,51.71298789999999,7.752975099999999
51,10.2,-14,12,71034,Böblingen,48.6762593,8.9773145
52,8.1,-10,5,53111,Bonn,50.7419457,7.0950367
53,9.0,-10,1,26757,Borkum,53.587621999999996,6.6704003
54,9.5,-14,4,4552,Borna b. Leipzig,51.1304093,12.493046099999999
55,9.5,-16,4,6571,"Bottenweiler, Post Zumhaus (Wörnitz)",51.2886317,11.371145599999998
